journal;volume;year;isbn;pages
J. Educ. Technol. Soc.;15;2012;0-674-65320-3;202
Medical Biol. Eng. Comput.;54;2016;0-615-40688-2;255
J. Math. Imaging Vis.;44;2012;0-267-05351-7;135
ACM SIGPLAN Notices;8;1973;1-08-171695-9;284
Intell. Autom. Soft Comput.;23;2017;1-67535-256-9;365
Nat. Comput.;1;2002;1-04-839710-6;134
J. Digit. Imaging;33;2020;1-196-62100-4;165
J. Approx. Theory;207;2016;1-4392-9970-6;232
IEEE J. Emerg. Sel. Topics Circuits Syst.;6;2016;1-121-34451-8;303
CoRR;abs/1908.03264;2019;0-540-75188-X;143
Int. J. Technol. Manag.;30;2005;1-65987-244-8;302
CoRR;abs/2012.13985;2020;0-400-13780-1;390
Comput. Chem. Eng.;111;2018;0-217-41696-9;263
Pervasive Mob. Comput.;22;2015;1-921065-80-X;367
J. Comput. Methods Sci. Eng.;16;2016;1-170-43074-0;382
CoRR;abs/1609.08283;2016;0-222-53203-3;223
Int. J. Electron. Commer.;5;2001;1-73103-225-0;392
CoRR;abs/1601.01577;2016;1-07-812121-4;190
Electron. Notes Theor. Comput. Sci.;232;2009;0-05-689173-3;177
Inform. Spektrum;4;1981;0-10-246071-X;268
SIAM J. Math. Anal.;48;2016;0-18-018295-1;303
Int. J. Inf. Technol. Decis. Mak.;9;2010;1-04-876092-8;223
Algorithmica;18;1997;1-173-37790-5;133
IEEE Trans. Dependable Secur. Comput.;14;2017;0-622-59542-3;292
J. Graph Theory;30;1999;1-60275-114-5;184
CoRR;abs/1812.01081;2018;1-870751-89-2;350
CoRR;abs/1601.02130;2016;1-956509-19-4;228
ACM Trans. Design Autom. Electr. Syst.;4;1999;0-238-62409-9;244
Australas. J Comb.;32;2005;0-8007-7379-9;279
J. Syst. Integr.;8;1998;0-08-168081-3;249
IEEE Embed. Syst. Lett.;9;2017;0-389-96760-2;344
IEEE Instrum. Meas. Mag.;23;2020;0-8307-4768-0;240
CoRR;abs/2012.06158;2020;1-04-942309-7;366
IEEE Comput. Archit. Lett.;12;2013;0-467-89634-8;309
Queueing Syst. Theory Appl.;19;1995;1-901862-02-X;209
Neurocomputing;70;2006;0-377-90532-1;188
RFC;6253;2011;1-55013-958-4;237
IEEE ACM Trans. Audio Speech Lang. Process.;25;2017;0-485-59771-3;147
Inroads;4;2013;0-04-237961-X;279
Ars Comb.;116;2014;1-326-87676-7;310
Int. J. Comput. Aided Eng. Technol.;6;2014;1-340-70417-X;354
IEEE Trans. Circuits Syst. I Regul. Pap.;58-I;2011;1-122-31915-0;146
New Media Soc.;7;2005;0-598-07670-0;185
CoRR;abs/1904.12085;2019;0-947681-04-3;110
CoRR;abs/1403.0093;2014;0-945075-98-7;326
IEEE Signal Process. Mag.;38;2021;1-888253-27-4;184
Int. J. Robotics Res.;9;1990;0-8461-1479-8;196
Microprocess. Microsystems;16;1992;0-7184-8949-7;384
Wirtschaftsinformatik Manag.;13;2021;1-06-102106-8;156
Int. J. Data Min. Bioinform.;24;2020;0-503-05132-2;102
CoRR;abs/1408.2362;2014;0-681-28678-4;131
Expert Syst. J. Knowl. Eng.;23;2006;1-4951-7826-9;321
Signal Image Video Process.;14;2020;0-427-73724-9;177
J. Enterp. Inf. Manag.;32;2019;0-472-18438-5;293
J. Univers. Comput. Sci.;9;2003;1-235-62984-8;105
Int. J. Digit. Earth;4;2011;1-124-47208-8;346
Ann. Oper. Res.;289;2020;1-184-72557-8;378
J. Multimodal User Interfaces;12;2018;0-666-79178-3;343
Signal Process.;40;1994;1-4080-7461-3;206
Interact. Technol. Smart Educ.;16;2019;1-78071-665-6;314
Optim. Lett.;15;2021;0-378-08417-8;210
SIGKDD Explor.;8;2006;0-405-32452-9;350
Comput. Geom.;36;2007;0-450-82776-3;312
IEEE Trans. Signal Process.;56;2008;0-449-24541-1;193
J. Vis.;12;2009;0-05-279604-3;180
NeuroImage;40;2008;1-4673-0504-9;361
Comput. Commun.;148;2019;0-7507-6332-9;348
Mach. Transl.;25;2011;0-533-94792-8;105
CoRR;abs/2108.09751;2021;1-257-11018-7;221
Appl. Math. Comput.;186;2007;0-04-290734-9;171
CoRR;abs/2005.09638;2020;1-07-229934-8;145
Ann. Oper. Res.;286;2020;0-684-55937-4;355
Comput. Chem. Eng.;30;2006;0-7225-7985-3;351
Comput. Commun.;62;2015;0-325-32464-6;124
Electron. Notes Discret. Math.;29;2007;0-7608-7531-6;189
J. Inf. Commun. Ethics Soc.;18;2020;1-5461-8779-0;266
CoRR;abs/1904.11304;2019;1-08-144610-2;189
CoRR;abs/2002.10515;2020;0-545-07795-8;354
IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.;11;2018;1-390-56951-9;140
J. Comput.;12;2017;0-14-926668-5;187
Simul.;70;1998;0-628-33190-8;180
J. Medical Syst.;40;2016;0-211-08377-1;263
IEEE Trans. Software Eng.;45;2019;0-11-834772-1;111
CoRR;abs/2010.04671;2020;0-04-705792-0;364
Comput. Biol. Chem.;71;2017;0-9607174-6-3;262
Electron. Libr.;30;2012;1-874895-71-6;119
Pervasive Mob. Comput.;27;2016;1-07-826527-5;162
CoRR;abs/cs/0701092;2007;1-08-723893-5;283
Discuss. Math. Graph Theory;38;2018;0-03-299357-9;103
Pattern Recognit.;18;1985;0-931719-53-4;329
SIGARCH Comput. Archit. News;31;2003;1-942426-94-1;365
CoRR;abs/2108.13062;2021;0-376-09725-6;232
CoRR;abs/1811.10776;2018;0-370-92710-9;373
CoRR;abs/1905.01553;2019;0-7537-9485-3;299
Networks Heterog. Media;2;2007;1-934240-93-1;207
Neurocomputing;77;2012;0-7375-0562-1;113
Appl. Intell.;52;2022;1-80812-217-8;193
Comput. Vis. Image Underst.;71;1998;0-312-40188-4;205
Appl. Soft Comput.;77;2019;0-9899382-0-4;171
Informatica (Slovenia);30;2006;1-317-28637-5;249
CoRR;abs/2106.05809;2021;0-13-123800-0;348
Int. J. Uncertain. Fuzziness Knowl. Based Syst.;15;2007;1-4695-2407-4;388
Int. J. Control;92;2019;0-416-80096-3;233
CoRR;abs/1709.08767;2017;0-376-01160-2;378
Bio Algorithms Med Syst.;16;2020;0-624-77467-8;400
IBM Syst. J.;1;1962;0-435-69433-2;307
IEEE Trans. Commun.;42;1994;1-86414-906-X;399
ACM SIGCSE Bull.;46;2014;1-887289-41-0;183
Inf. Sci.;426;2018;1-210-75883-0;210
SIAM J. Control. Optim.;53;2015;0-06-041443-X;355
Transp. Sci.;52;2018;0-594-56704-1;192
Ann. Oper. Res.;59;1995;0-697-51470-6;388
CoRR;abs/2201.08102;2022;1-302-78353-X;238
J. Philos. Log.;30;2001;0-915717-86-7;265
Vis. Comput.;13;1997;0-8303-7228-8;152
Knowl. Based Syst.;118;2017;1-60032-104-6;146
Neurocomputing;185;2016;0-00-843198-1;361
Signal Process.;171;2020;1-4923-8890-4;260
CoRR;abs/2005.14050;2020;0-668-49596-0;377
CoRR;abs/1707.08187;2017;0-380-46280-X;181
J. Comput. Chem.;33;2012;1-278-53490-3;153
Discret. Math.;87;1991;0-511-88946-1;181
J. Graph Theory;46;2004;0-18-199037-7;232
CoRR;abs/2201.10766;2022;1-909906-05-0;107
Math. Comput. Sci.;6;2012;1-115-36830-3;127
Int. J. Intell. Syst. Technol. Appl.;11;2012;0-7892-5630-4;255
CoRR;abs/2202.04878;2022;0-427-11553-1;270
J. Libr. Inf. Sci.;42;2010;1-961561-55-7;146
IEEE Trans. Mob. Comput.;5;2006;0-02-892322-7;278
Expert Syst. Appl.;164;2021;1-227-37258-2;182
Technol. Anal. Strateg. Manag.;25;2013;0-19-030899-0;385
CoRR;abs/2112.01878;2021;1-9854-0142-8;220
J. Vis. Commun. Image Represent.;52;2018;1-285-17705-3;144
Int. J. Crit. Infrastructures;15;2019;1-190-87955-7;358
Discret. Appl. Math.;138;2004;0-7236-2700-2;331
J. Mach. Learn. Res.;20;2019;1-7374571-5-6;271
Int. J. Mob. Learn. Organisation;14;2020;0-251-33628-X;288
IBM J. Res. Dev.;2;1958;1-4805-9578-0;156
Gov. Inf. Q.;31;2014;0-454-58909-3;164
it Inf. Technol.;29;1987;1-275-77607-8;366
CoRR;abs/1907.09198;2019;0-7191-4967-3;247
Discret. Math. Algorithms Appl.;2;2010;1-123-58730-2;340
ACM Trans. Asian Lang. Inf. Process.;10;2011;1-5393-5844-5;382
CoRR;abs/2009.10435;2020;1-70780-267-X;123
J. Manag. Inf. Syst.;35;2018;0-16-934605-6;303
Comput. Linguistics;21;1995;1-4688-6777-6;174
IEEE Multim.;27;2020;1-218-39509-5;221
Expert Syst. Appl.;34;2008;1-257-07540-3;121
ACM Trans. Database Syst.;46;2021;1-308-37563-8;276
IEEE Trans. Knowl. Data Eng.;24;2012;1-69143-373-X;176
CoRR;abs/0903.2108;2009;0-625-34401-4;222
CoRR;abs/2112.01576;2021;0-19-507083-6;154
CoRR;abs/2102.06019;2021;0-13-651093-0;270
CoRR;abs/1904.03483;2019;0-05-381477-0;397
Signal Process. Image Commun.;97;2021;1-149-85176-7;297
CoRR;abs/1712.00994;2017;0-05-302120-7;150
Adv. Decis. Sci.;5;2001;0-285-40761-9;126
CoRR;abs/1904.13108;2019;1-136-28096-0;207
CoRR;abs/2004.01056;2020;0-9907959-6-9;236
Comput. Vis. Image Underst.;70;1998;1-76361-660-6;133
CoRR;abs/2002.01365;2020;0-8486-6521-X;295
Int. J. Appl. Math. Comput. Sci.;18;2008;1-75769-062-X;250
CoRR;abs/1906.10883;2019;1-236-84840-3;127
New Media Soc.;21;2019;1-4464-0749-7;144
Electron. Notes Theor. Comput. Sci.;236;2009;1-4772-2216-2;215
Int. J. Law Inf. Technol.;27;2019;1-200-41932-4;139
Int. J. Distributed Sens. Networks;8;2012;1-62933-276-3;254
RFC;3162;2001;1-4568-2483-X;157
Appl. Artif. Intell.;2;1988;1-4764-3178-7;183
CoRR;abs/1212.5524;2012;0-12-906171-9;257
CoRR;abs/2009.02866;2020;0-7797-6877-9;310
Microelectron. Reliab.;73;2017;1-243-46649-9;282
Discret. Math.;170;1997;1-924952-93-9;248
Signal Process.;82;2002;0-613-78319-0;380
CoRR;abs/1810.11404;2018;0-497-52282-9;350
Robotics Auton. Syst.;59;2011;0-479-40055-5;177
RFC;5290;2008;1-9799-7198-6;126
J. Digit. Imaging;18;2005;0-05-566838-0;265
J. Cloud Comput.;4;2015;1-4715-3951-2;368
J. Parallel Distributed Comput.;113;2018;1-922081-74-4;374
Traitement du Signal;35;2018;1-116-49249-0;291
Res. Comput. Sci.;75;2014;1-83753-203-6;209
CoRR;abs/1905.08537;2019;0-572-77554-7;153
IRE Trans. Inf. Theory;1;1955;1-74424-862-1;390
J. Log. Comput.;1;1991;0-277-68467-6;363
Appl. Intell.;39;2013;1-79362-954-4;138
Electron. Libr.;18;2000;1-900701-80-4;334
RFC;3617;2003;1-274-85242-0;243
Netw. Secur.;2017;2017;1-359-23342-3;318
NeuroImage;154;2017;0-383-71299-8;146
Discret. Comput. Geom.;6;1991;1-995398-01-2;244
J. Comput. Inf. Sci. Eng.;4;2004;0-7281-5381-5;211
J. Circuits Syst. Comput.;22;2013;1-248-46354-4;233
Nucleic Acids Res.;40;2012;0-9533000-5-6;362
IEEE Wirel. Commun.;15;2008;0-13-503597-X;257
CoRR;abs/1810.05724;2018;1-08-278352-8;259
CoRR;abs/1908.07860;2019;1-112-00996-5;231
CoRR;abs/1911.08907;2019;1-4425-3439-7;166
Int. J. Artif. Intell. Tools;22;2013;0-949674-84-2;241
ISPRS Int. J. Geo Inf.;6;2017;0-602-00684-8;210
ACM Trans. Algorithms;4;2008;0-932047-24-6;351
IET Softw.;3;2009;1-80531-976-0;214
Ann. Oper. Res.;32;1991;1-4470-9297-X;339
CoRR;abs/1707.08802;2017;0-487-67345-X;176
FLAP;8;2021;1-80756-294-8;333
IEEE Trans. Inf. Technol. Biomed.;15;2011;0-306-52199-7;194
IT Prof.;20;2018;0-930849-35-3;227
CoRR;abs/1911.01888;2019;0-202-03074-1;391
CoRR;abs/1804.07881;2018;0-388-72745-4;199
Int. J. Technoethics;11;2020;0-8410-5579-3;376
CoRR;abs/2002.10577;2020;0-383-70976-8;309
SIGACT News;50;2019;0-908365-88-8;162
CoRR;abs/1508.02326;2015;1-77616-450-4;193
CoRR;abs/1808.01162;2018;1-71663-735-X;198
CoRR;abs/2002.05193;2020;1-129-08245-8;279
CoRR;abs/0710.0410;2007;1-119-46283-5;201
Int. J. Syst. Sci.;49;2018;0-460-92128-2;283
J. Cogn. Neurosci.;18;2006;1-4663-1606-3;216
Comput. Support. Cooperative Work.;23;2014;0-19-896475-7;320
Int. J. Inf. Technol. Decis. Mak.;10;2011;0-471-85690-8;217
Commun. Nonlinear Sci. Numer. Simul.;83;2020;1-81247-363-X;267
Perform. Evaluation;70;2013;1-4149-3264-2;125
Appl. Math. Comput.;214;2009;0-11-178156-6;167
CoRR;abs/0709.4280;2007;0-7048-5036-2;279
Presence Teleoperators Virtual Environ.;16;2007;1-76008-869-2;393
SIAM J. Appl. Math.;63;2003;0-637-87937-6;218
Int. J. Crit. Infrastructure Prot.;6;2013;1-65257-248-1;366
J. Complex.;30;2014;1-00-641632-3;157
Int. J. Appl. Earth Obs. Geoinformation;102;2021;1-302-19359-7;251
CoRR;abs/2110.06373;2021;1-04-967668-8;221
J. Vis. Lang. Comput.;21;2010;0-508-42390-2;155
Neurocomputing;144;2014;0-8039-2044-X;352
Comput. Oper. Res.;13;1986;0-237-21473-3;264
CoRR;abs/1506.03509;2015;0-8045-2671-0;141
Appl. Math. Lett.;18;2005;1-74211-973-5;141
Eur. J. Comb.;71;2018;1-928755-43-7;320
Biomed. Signal Process. Control.;40;2018;1-4923-3187-2;380
Comput. Appl. Eng. Educ.;24;2016;1-961791-07-2;330
J. Electron. Test.;29;2013;1-132-52131-9;127
Int. J. Technol. Diffusion;1;2010;1-09-719204-0;179
Comput. Sci. Inf. Syst.;17;2020;0-326-53886-0;274
CoRR;abs/2202.12449;2022;1-954702-84-1;252
CoRR;abs/1604.06416;2016;1-78322-379-0;278
CoRR;abs/2111.09304;2021;0-948674-92-X;116
Robotics Auton. Syst.;11;1993;0-427-75753-3;125
Health Informatics J.;20;2014;1-4380-9405-1;395
Distributed Parallel Databases;36;2018;0-349-34945-2;352
CoRR;abs/1806.05009;2018;1-83563-141-X;313
Perform. Evaluation;64;2007;1-07-716752-0;198
Games Econ. Behav.;86;2014;0-489-31598-4;103
J. Am. Medical Informatics Assoc.;20;2013;0-8203-4489-3;374
Biomed. Signal Process. Control.;1;2006;0-7926-8301-3;314
Electron. Colloquium Comput. Complex.;24;2017;0-285-41984-6;234
Comput. Ind. Eng.;127;2019;0-356-57382-6;391
NeuroImage;199;2019;1-296-74980-0;303
Inf. Process. Manag.;20;1984;0-17-269054-4;127
IEEE Trans. Geosci. Remote. Sens.;43;2005;0-7183-7541-6;240
Autom. Control. Comput. Sci.;49;2015;1-63745-976-9;238
J. Big Data;8;2021;1-189-25719-X;314
Neurocomputing;69;2005;1-5356-0666-5;242
Comput. Commun.;46;2014;1-74254-518-1;381
Autom.;66;2018;1-60011-308-7;368
CoRR;abs/1710.01487;2017;0-7336-7546-8;124
CoRR;abs/1502.02943;2015;0-295-94121-9;168
CoRR;abs/2007.08971;2020;1-378-31505-7;400
CoRR;abs/2010.09278;2020;0-526-29268-7;272
J. Real Time Image Process.;7;2012;1-5414-5394-8;361
J. Electronic Imaging;10;2001;0-661-23982-9;285
CoRR;abs/1211.5766;2012;1-63305-934-0;292
CoRR;abs/2004.14684;2020;1-84413-310-9;158
IEEE Trans. Very Large Scale Integr. Syst.;16;2008;1-250-22885-9;126
Libr. Trends;61;2012;0-692-80042-5;109
Comput. Sci. Eng.;18;2016;0-13-666791-0;272
Telecommun. Syst.;31;2006;1-161-42853-4;174
CoRR;abs/1303.5752;2013;0-9922742-1-4;303
Ad Hoc Networks;4;2006;1-4934-3865-4;123
Hum. Factors;46;2004;0-426-94264-7;191
Comput. Complex.;19;2010;1-01-131546-7;273
CoRR;abs/1904.05682;2019;0-17-398804-0;263
CoRR;abs/1602.05657;2016;0-541-46276-8;151
Trans. Data Hiding Multim. Secur.;7;2012;0-07-048866-5;145
CoRR;abs/1411.6127;2014;1-06-661084-3;134
CoRR;abs/1806.04718;2018;0-629-04867-3;337
Scalable Comput. Pract. Exp.;8;2007;0-10-471349-6;279
J. Inf. Syst. Educ.;15;2004;0-336-17057-2;228
CoRR;abs/2110.14239;2021;1-09-414512-2;351
CoRR;abs/2108.05115;2021;1-911006-79-7;362
Int. J. Netw. Virtual Organisations;8;2011;0-309-01271-6;317
Document Numérique;8;2004;1-300-88088-0;123
Multiagent Grid Syst.;11;2015;1-145-08374-9;312
J. Electronic Imaging;28;2019;0-16-655594-0;371
Int. J. Hum. Comput. Stud.;67;2009;1-364-72455-3;310
Math. Log. Q.;66;2020;0-511-53169-9;388
J. Sci. Comput.;32;2007;1-209-36963-X;366
J. Circuits Syst. Comput.;18;2009;1-4956-2278-9;362
Comput. Graph. Forum;23;2004;1-60665-966-9;110
J. Documentation;43;1987;1-161-35755-6;244
Computer;45;2012;1-05-972765-X;272
Expert Syst. Appl.;95;2018;1-05-311240-8;166
Interactions;14;2007;0-9753380-1-3;154
IEEE Trans. Circuits Syst. Video Technol.;30;2020;1-84779-035-6;296
J. Stat. Theory Appl.;16;2017;1-372-95195-4;393
SIAM J. Sci. Comput.;21;1999;1-74178-884-6;322
SIAM J. Control. Optim.;52;2014;0-578-60416-7;348
Int. J. Inf. Secur. Priv.;1;2007;0-556-85124-2;269
IEEE Geosci. Remote. Sens. Lett.;2;2005;1-09-621466-0;131
Int. J. Hum. Comput. Stud.;134;2020;1-63584-598-X;378
CoRR;abs/2011.14979;2020;0-489-26006-3;227
Int. J. Intell. Syst.;33;2018;0-684-10952-2;236
J. Nonlinear Sci.;25;2015;0-7886-7205-3;379
CoRR;abs/2003.13951;2020;1-62683-006-1;210
CoRR;abs/2108.13640;2021;0-364-42103-7;204
Int. J. Comput. Sci. Sport;17;2018;1-265-64383-0;115
CoRR;abs/2105.00203;2021;0-9845095-3-4;298
SIAM J. Comput.;41;2012;1-66493-479-0;337
Signal Process.;91;2011;0-13-032321-7;336
CoRR;abs/1910.08439;2019;1-58970-698-6;152
Int. J. Knowl. Discov. Bioinform.;6;2016;1-7329084-7-8;201
J. Log. Comput.;10;2000;0-497-46239-7;284
Theory Pract. Log. Program.;1;2001;1-60171-431-9;121
Comput. Vis. Image Underst.;105;2007;0-945341-58-X;111
Int. J. Biomed. Imaging;2021;2021;1-4054-0416-7;351
Int. J. Artif. Life Res.;8;2018;0-13-882861-X;167
MIS Q.;32;2008;1-75051-472-9;267
Theor. Comput. Sci.;125;1994;1-932417-76-1;384
Comput. Aided Des.;115;2019;0-278-30346-3;183
CoRR;abs/1410.0462;2014;1-62662-216-7;210
CoRR;abs/1901.04286;2019;0-416-42200-4;170
CoRR;abs/2012.14146;2020;1-78046-709-5;175
Int. J. Inf. Technol. Proj. Manag.;7;2016;1-86814-599-9;374
Inf. Sci.;238;2013;1-78979-989-9;302
CoRR;abs/2110.03939;2021;0-685-80012-1;241
IEEE Trans. Inf. Theory;32;1986;1-881531-88-0;243
Int. J. Meas. Technol. Instrum. Eng.;6;2017;1-4329-8200-1;189
Entropy;1;1999;1-01-656066-4;218
CoRR;abs/2004.13907;2020;0-388-99131-3;269
RFC;2688;1999;0-06-131510-9;191
CoRR;abs/1207.0135;2012;0-580-12969-1;101
MIS Q.;37;2013;0-466-96238-X;141
J. Comput. Sci. Technol.;32;2017;1-80688-454-2;362
J. Inf. Syst.;29;2015;1-181-32458-0;246
J. Informetrics;8;2014;1-871047-73-0;246
Frontiers Comput. Sci.;11;2017;0-553-05080-X;236
Artif. Intell. Eng. Des. Anal. Manuf.;36;2022;0-15-466627-0;188
Inf. Syst.;92;2020;1-61934-897-7;275
IACR Cryptol. ePrint Arch.;2005;2005;0-19-720871-1;136
CoRR;abs/2107.01294;2021;0-546-84441-3;305
Adv. Data Sci. Adapt. Anal.;4;2012;0-256-31479-9;400
CoRR;abs/1803.10554;2018;1-205-18752-9;124
Commun. ACM;57;2014;1-350-25803-2;330
Int. J. Swarm Intell. Res.;10;2019;0-255-04906-4;311
Comput. Electron. Agric.;110;2015;1-85237-767-4;102
Comput. Hum. Behav.;56;2016;1-151-48993-X;385
CoRR;abs/2009.04298;2020;1-67336-664-3;305
Appl. Soft Comput.;24;2014;1-75953-335-1;341
J. Syst. Softw.;57;2001;1-920428-99-2;346
Image Vis. Comput.;26;2008;0-640-51970-9;230
IEEE Consumer Electron. Mag.;7;2018;1-152-55450-6;183
Fuzzy Sets Syst.;85;1997;1-79752-074-1;309
Ann. Oper. Res.;86;1999;0-298-70438-2;250
Int. J. Appl. Decis. Sci.;4;2011;1-250-37114-7;123
CoRR;abs/1801.04891;2018;1-4159-2377-9;368
Adv. Decis. Sci.;2006;2006;1-61274-751-5;371
Expert Syst. J. Knowl. Eng.;39;2022;1-69603-804-9;268
Rev. Iberoam. de Tecnol. del Aprendiz.;11;2016;0-85136-883-2;230
Int. J. Pattern Recognit. Artif. Intell.;5;1991;0-394-07559-5;176
Comput. Speech Lang.;21;2007;0-327-86781-7;221
J. Comput. Phys.;212;2006;0-513-86810-0;283
CoRR;abs/1510.08612;2015;0-86555-034-4;282
Eur. J. Comb.;92;2021;1-4787-7551-3;149
Biosyst.;110;2012;0-04-482236-7;264
J. Inf. Sci. Eng.;26;2010;0-268-44725-X;214
CoRR;abs/1401.4126;2014;0-593-95068-2;141
SIGIR Forum;35;2001;1-07-192847-3;201
Nucleic Acids Res.;4;1977;0-558-16686-5;324
CoRR;abs/2108.08437;2021;0-9586005-3-8;148
Libr. Hi Tech;27;2009;1-346-24683-1;165
CoRR;abs/1707.01032;2017;1-67163-213-3;334
CoRR;abs/2011.12706;2020;1-66994-535-9;393
Theor. Comput. Sci.;302;2003;1-937523-93-4;239
Int. J. Appl. Earth Obs. Geoinformation;39;2015;0-517-58043-8;107
Int. J. Softw. Eng. Knowl. Eng.;21;2011;0-7263-6754-0;305
J. Optim. Theory Appl.;155;2012;1-4858-2644-6;259
Int. J. Comb. Optim. Probl. Informatics;10;2019;1-4083-2913-1;399
Des. Codes Cryptogr.;41;2006;1-80800-772-7;178
IEEE Trans. Signal Process.;61;2013;1-158-27050-X;331
IEEE Trans. Fuzzy Syst.;30;2022;0-8226-2791-4;327
Bio Algorithms Med Syst.;4;2008;1-63609-306-X;353
CoRR;abs/2002.07875;2020;0-86259-002-7;332
IEEE Des. Test;30;2013;0-7238-7501-4;122
Discret. Math. Theor. Comput. Sci.;23;2021;0-7950-9563-5;313
CoRR;abs/1107.0429;2011;1-4292-4663-4;243
Interact. Comput.;12;2000;0-417-34717-0;338
Speech Commun.;124;2020;0-367-63410-4;248
Electron. Notes Theor. Comput. Sci.;163;2006;1-66429-106-7;340
Int. J. Man Mach. Stud.;30;1989;1-173-57226-0;148
Systems and Computers in Japan;27;1996;1-70334-701-3;249
Comput. Secur.;23;2004;1-56354-612-4;137
IEEE Trans. Acoust. Speech Signal Process.;35;1987;1-9824-7485-8;305
Comput. J.;6;1963;1-68152-818-5;235
Image Vis. Comput.;32;2014;0-283-27393-3;281
CoRR;abs/2103.04850;2021;0-87256-001-5;353
J. Grid Comput.;5;2007;0-11-664560-1;135
J. Biomed. Informatics;36;2003;1-03-516676-3;396
SIAM J. Comput.;14;1985;1-261-55676-3;248
CoRR;abs/1509.04874;2015;1-4684-8695-0;327
J. Comput. Phys.;220;2007;0-468-83340-4;259
J. Parallel Distributed Comput.;4;1987;1-4926-1333-9;371
Entropy;15;2013;1-81377-018-2;165
Comput. Chem. Eng.;104;2017;0-297-24860-X;117
Comput. Commun. Rev.;49;2019;1-4503-7400-X;188
Empir. Softw. Eng.;2;1997;0-696-16147-8;101
Comput. Phys. Commun.;203;2016;1-898713-73-1;226
Int. J. Digit. Libr.;5;2005;0-00-538204-1;349
Ethics Inf. Technol.;17;2015;1-225-44604-X;389
Finite Fields Their Appl.;42;2016;1-05-290240-5;248
Int. J. Grid High Perform. Comput.;8;2016;0-370-96285-0;326
Comput. Methods Programs Biomed.;97;2010;0-10-470969-3;251
Comput. Lang. Syst. Struct.;46;2016;1-137-54015-X;359
ACM Trans. Algorithms;9;2012;1-65831-959-1;224
CoRR;abs/1903.02014;2019;1-72430-559-X;264
Int. J. Appl. Metaheuristic Comput.;5;2014;0-7434-0135-2;296
Expert Syst. Appl.;30;2006;0-423-78223-1;118
Database J. Biol. Databases Curation;2010;2010;0-583-44910-7;162
Neural Networks;133;2021;1-4576-6967-6;323
Internet Things;6;2019;0-01-958322-2;272
Learn. Publ.;11;1998;1-02-906124-6;159
Commun. Nonlinear Sci. Numer. Simul.;18;2013;0-376-43033-8;365
Comput. Math. Methods Medicine;2017;2017;0-276-61946-3;374
ReCALL;22;2010;0-18-485791-0;286
Document Numérique;5;2001;0-230-27745-4;190
Inf. Manag.;47;2010;1-01-265868-6;253
IEEE Trans. Fuzzy Syst.;13;2005;0-318-60237-7;127
SIAM J. Optim.;14;2003;1-77353-797-0;333
BMC Medical Informatics Decis. Mak.;15;2015;1-156-26296-8;194
IEEE Wirel. Commun. Lett.;9;2020;0-327-32656-5;277
CoRR;abs/2011.01556;2020;1-4262-2530-X;377
CoRR;abs/1906.10045;2019;1-117-34301-4;216
Auton. Agents Multi Agent Syst.;4;2001;1-4337-7163-2;391
Comput. Math. Appl.;68;2014;1-295-52980-7;341
J. Intell. Robotic Syst.;86;2017;1-993390-49-9;157
CoRR;abs/2004.08068;2020;1-161-56867-0;392
Medical Biol. Eng. Comput.;51;2013;1-5426-7211-2;102
J. Inf. Technol.;29;2014;0-697-23463-0;371
Comput. Networks;201;2021;0-215-50667-7;251
Br. J. Educ. Technol.;41;2010;1-360-61173-8;297
CoRR;abs/2103.00784;2021;1-56169-025-2;256
Int. J. Medical Informatics;87;2016;1-958504-89-0;152
CoRR;abs/1806.07135;2018;1-4937-7556-1;272
CoRR;abs/1407.2981;2014;0-14-780380-2;190
ARIMA J.;18;2014;1-59425-801-5;313
CoRR;abs/1802.06306;2018;1-4595-0253-1;146
Electron. Colloquium Comput. Complex.;6;1999;0-477-44894-1;297
Appl. Math. Comput.;187;2007;1-874899-97-5;157
CoRR;abs/1605.00772;2016;0-7560-7633-1;363
Pattern Recognit.;21;1988;1-57443-208-7;320
CoRR;abs/2009.13436;2020;1-291-73893-2;370
Prax. Inf.verarb. Kommun.;15;1992;1-56772-399-3;236
J. Inf. Sci.;43;2017;1-75439-741-7;338
Inf. Sci.;473;2019;1-01-298481-8;178
Adv. Eng. Softw.;82;2015;1-81425-920-1;116
CoRR;abs/1905.01357;2019;1-08-710288-X;339
CoRR;abs/1912.08112;2019;1-68221-494-X;143
Robotica;35;2017;0-8418-9607-0;118
Electron. J. Inf. Syst. Dev. Ctries.;2;2000;0-569-60621-7;111
Decis. Support Syst.;3;1987;0-264-47448-1;300
Signal Process.;64;1998;1-05-807531-4;348
IEEE Trans. Educ.;53;2010;1-288-23334-5;152
IEEE Syst. J.;15;2021;0-230-29733-1;106
Softw. Pract. Exp.;25;1995;1-03-311751-X;329
Eur. J. Comb.;67;2018;0-360-45957-9;359
Int. J. Circuit Theory Appl.;44;2016;1-72280-108-5;368
CoRR;abs/1801.05068;2018;0-07-014354-4;366
CoRR;abs/1710.00399;2017;0-16-844046-6;289
Theor. Comput. Sci.;795;2019;0-02-700889-4;102
Int. J. Ad Hoc Ubiquitous Comput.;21;2016;1-337-17510-2;389
J. Glob. Optim.;60;2014;0-87795-476-3;281
J. Robotics Mechatronics;8;1996;0-533-50404-X;223
MIS Q. Executive;8;2009;1-373-38553-7;244
